epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
30,55.5479,0.66526,0.81992,1.06149,0.78171,0.63707,0.73697,0.65444,0.5854,1.14316,0.88111,0.00488772,0.00162924,0.00488772,0.00162924,0.00488772,0.00162924,0.00488772,0.00162924
31,57.0863,0.60912,0.80257,0.98842,0.80523,0.64371,0.74431,0.66762,0.60423,1.09549,0.87975,0.00487984,0.00162661,0.00487984,0.00162661,0.00487984,0.00162661,0.00487984,0.00162661
32,58.7546,0.63253,0.92342,0.96887,0.88987,0.62004,0.67369,0.63006,0.54091,1.44472,0.82655,0.0048717,0.0016239,0.0048717,0.0016239,0.0048717,0.0016239,0.0048717,0.0016239
33,60.259,0.51418,0.70275,0.93683,0.90007,0.61945,0.68649,0.62089,0.56156,1.55829,0.8452,0.0048633,0.0016211,0.0048633,0.0016211,0.0048633,0.0016211,0.0048633,0.0016211
34,61.7819,0.59941,0.65843,0.95653,0.94382,0.5625,0.68964,0.62503,0.56113,1.47457,0.84164,0.00485465,0.00161822,0.00485465,0.00161822,0.00485465,0.00161822,0.00485465,0.00161822
35,63.4259,0.76228,0.77277,1.15584,0.91796,0.56008,0.7235,0.64326,0.60068,1.55739,0.86283,0.00484574,0.00161525,0.00484574,0.00161525,0.00484574,0.00161525,0.00484574,0.00161525
36,65.0787,0.43616,1.20312,0.74511,0.89436,0.61934,0.79778,0.6891,0.6328,1.51211,0.89693,0.00483658,0.00161219,0.00483658,0.00161219,0.00483658,0.00161219,0.00483658,0.00161219
37,66.857,0.60675,0.77007,0.93126,0.89808,0.68124,0.78528,0.69995,0.67187,1.30713,0.93316,0.00482716,0.00160905,0.00482716,0.00160905,0.00482716,0.00160905,0.00482716,0.00160905
38,68.5778,0.59197,0.54071,0.92764,0.96003,0.6875,0.80089,0.69664,0.66014,1.00767,0.90884,0.00481749,0.00160583,0.00481749,0.00160583,0.00481749,0.00160583,0.00481749,0.00160583
39,70.2041,0.49578,0.61878,0.92148,0.97797,0.67426,0.78217,0.69275,0.64127,0.98559,0.89306,0.00480757,0.00160252,0.00480757,0.00160252,0.00480757,0.00160252,0.00480757,0.00160252
40,72.0285,0.60428,0.6563,0.99324,0.92,0.6875,0.74861,0.69926,0.63339,1.01283,0.89687,0.0047974,0.00159913,0.0047974,0.00159913,0.0047974,0.00159913,0.0047974,0.00159913
41,73.565,0.57728,0.58135,0.93843,0.9533,0.6875,0.75019,0.70039,0.63575,1.02982,0.89783,0.00478698,0.00159566,0.00478698,0.00159566,0.00478698,0.00159566,0.00478698,0.00159566
42,75.3326,0.5302,0.61781,0.94693,0.95333,0.6875,0.73898,0.69529,0.63127,1.01563,0.89103,0.00477631,0.0015921,0.00477631,0.0015921,0.00477631,0.0015921,0.00477631,0.0015921
43,76.8536,0.51583,0.53724,0.91779,0.96045,0.6875,0.74198,0.69032,0.62466,0.98951,0.88582,0.0047654,0.00158847,0.0047654,0.00158847,0.0047654,0.00158847,0.0047654,0.00158847
44,78.534,0.49666,0.4882,0.89758,0.97398,0.6875,0.72316,0.68003,0.6349,0.98741,0.88189,0.00475424,0.00158475,0.00475424,0.00158475,0.00475424,0.00158475,0.00475424,0.00158475
45,80.1196,0.48666,0.51798,0.9065,0.96489,0.6875,0.71912,0.67306,0.60236,0.99687,0.862,0.00474283,0.00158094,0.00474283,0.00158094,0.00474283,0.00158094,0.00474283,0.00158094
46,81.6432,0.52356,0.62902,0.95936,0.95794,0.6875,0.71091,0.6603,0.58651,0.99114,0.85026,0.00473119,0.00157706,0.00473119,0.00157706,0.00473119,0.00157706,0.00473119,0.00157706
47,83.1596,0.57029,0.49488,0.98016,0.94893,0.6875,0.71517,0.68045,0.5954,1.01841,0.84675,0.0047193,0.0015731,0.0047193,0.0015731,0.0047193,0.0015731,0.0047193,0.0015731
48,84.7991,0.41301,1.19279,0.72276,0.92456,0.625,0.73639,0.6846,0.67706,1.17997,0.95537,0.00470717,0.00156906,0.00470717,0.00156906,0.00470717,0.00156906,0.00470717,0.00156906
49,86.4438,0.49297,0.4706,0.88105,0.86799,0.61836,0.74807,0.67927,0.68468,1.15925,0.95082,0.0046948,0.00156493,0.0046948,0.00156493,0.0046948,0.00156493,0.0046948,0.00156493
50,88.1568,0.5037,0.41978,0.8976,0.9401,0.5625,0.76483,0.68189,0.68126,1.13721,0.99366,0.00468219,0.00156073,0.00468219,0.00156073,0.00468219,0.00156073,0.00468219,0.00156073
51,89.6729,0.54073,0.48538,0.97486,0.92873,0.5625,0.73979,0.65528,0.65911,1.22163,0.98227,0.00466935,0.00155645,0.00466935,0.00155645,0.00466935,0.00155645,0.00466935,0.00155645
52,91.5171,0.49913,0.51314,0.88038,0.90401,0.625,0.75871,0.66909,0.64556,0.987,0.96104,0.00465627,0.00155209,0.00465627,0.00155209,0.00465627,0.00155209,0.00465627,0.00155209
53,93.1865,0.52039,0.48556,0.90695,0.94864,0.625,0.74564,0.65861,0.61507,0.9673,0.93626,0.00464295,0.00154765,0.00464295,0.00154765,0.00464295,0.00154765,0.00464295,0.00154765
54,94.862,0.45131,0.40317,0.88001,0.97029,0.625,0.74989,0.66127,0.61199,1.01776,0.94942,0.00462941,0.00154314,0.00462941,0.00154314,0.00462941,0.00154314,0.00462941,0.00154314
55,96.5328,0.4927,0.42151,0.92356,0.97512,0.625,0.75498,0.6523,0.61728,1.03519,0.95511,0.00461563,0.00153854,0.00461563,0.00153854,0.00461563,0.00153854,0.00461563,0.00153854
56,98.2312,0.43565,0.38956,0.8816,0.94032,0.62197,0.7142,0.64606,0.55282,1.2374,0.93277,0.00460163,0.00153388,0.00460163,0.00153388,0.00460163,0.00153388,0.00460163,0.00153388
