epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
42,1182.09,1.35088,0.74193,0.91982,0.78201,0.69267,0.74007,0.39143,1.12443,0.64702,0.73783,0.00983666,0.00983666,0.00983666
43,1209.78,1.34706,0.73795,0.92118,0.77297,0.69679,0.73972,0.38787,1.12028,0.63686,0.73479,0.00982864,0.00982864,0.00982864
44,1237.39,1.33972,0.73563,0.9205,0.77828,0.70115,0.74252,0.38819,1.13048,0.64852,0.73616,0.00982043,0.00982043,0.00982043
45,1265.58,1.34066,0.73596,0.9209,0.77673,0.69072,0.73892,0.39077,1.10815,0.64635,0.73426,0.00981204,0.00981204,0.00981204
46,1293.11,1.33636,0.73352,0.91787,0.78246,0.69223,0.74076,0.3915,1.11168,0.64378,0.73681,0.00980345,0.00980345,0.00980345
47,1321.31,1.33298,0.73725,0.91738,0.78354,0.70067,0.74523,0.39513,1.11625,0.64329,0.73727,0.00979468,0.00979468,0.00979468
48,1349.44,1.33484,0.7354,0.91885,0.78823,0.69397,0.74359,0.39377,1.11724,0.64523,0.73521,0.00978572,0.00978572,0.00978572
49,1377.07,1.33345,0.73851,0.9205,0.78733,0.68735,0.7394,0.38968,1.11334,0.64186,0.73657,0.00977658,0.00977658,0.00977658
50,1404.32,1.331,0.73879,0.91789,0.78497,0.69635,0.74157,0.39112,1.11733,0.64115,0.73583,0.00976725,0.00976725,0.00976725
51,1432.13,1.327,0.73836,0.92175,0.77825,0.69222,0.73578,0.39171,1.10358,0.64597,0.73561,0.00975773,0.00975773,0.00975773
52,1459.95,1.33072,0.73506,0.91689,0.77745,0.69413,0.74096,0.39191,1.10552,0.64212,0.73423,0.00974803,0.00974803,0.00974803
53,1487.42,1.33864,0.73581,0.91891,0.77043,0.69146,0.73325,0.38273,1.12033,0.64939,0.73582,0.00973814,0.00973814,0.00973814
