epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
30,575.718,0.58153,0.41009,0.82705,0.60217,0.94783,0.68761,0.58409,0.45033,830.862,0.68292,0.0041899,0.00139663,0.0041899,0.00139663,0.0041899,0.00139663,0.0041899,0.00139663
31,595.237,0.59071,0.41355,0.83345,0.6042,0.94608,0.68701,0.58518,0.45135,847.315,0.68376,0.00418314,0.00139438,0.00418314,0.00139438,0.00418314,0.00139438,0.00418314,0.00139438
32,614.341,0.58395,0.40788,0.82817,0.6096,0.93527,0.68937,0.58835,0.4484,851.758,0.68263,0.00417616,0.00139205,0.00417616,0.00139205,0.00417616,0.00139205,0.00417616,0.00139205
33,632.642,0.57354,0.39705,0.82755,0.60459,0.94509,0.6903,0.58879,0.44507,861.537,0.68221,0.00416896,0.00138965,0.00416896,0.00138965,0.00416896,0.00138965,0.00416896,0.00138965
34,650.824,0.58764,0.4053,0.82835,0.60616,0.94158,0.69379,0.59369,0.4428,851.085,0.68117,0.00416155,0.00138718,0.00416155,0.00138718,0.00416155,0.00138718,0.00416155,0.00138718
35,669.568,0.57557,0.39825,0.8282,0.60832,0.94224,0.69399,0.59344,0.44498,859.533,0.68105,0.00415391,0.00138464,0.00415391,0.00138464,0.00415391,0.00138464,0.00415391,0.00138464
36,687.815,0.56666,0.39304,0.82685,0.60375,0.95105,0.69785,0.59652,0.44628,868.204,0.6812,0.00414605,0.00138202,0.00414605,0.00138202,0.00414605,0.00138202,0.00414605,0.00138202
37,706.354,0.55911,0.38858,0.82447,0.60874,0.94217,0.69894,0.5983,0.44142,870.421,0.67966,0.00413798,0.00137933,0.00413798,0.00137933,0.00413798,0.00137933,0.00413798,0.00137933
38,725.115,0.57601,0.39451,0.82481,0.60556,0.9446,0.6996,0.59649,0.44151,873.978,0.68005,0.00412969,0.00137656,0.00412969,0.00137656,0.00412969,0.00137656,0.00412969,0.00137656
39,743.491,0.55749,0.38603,0.8261,0.60888,0.94026,0.69992,0.59742,0.44397,872.424,0.67991,0.00412119,0.00137373,0.00412119,0.00137373,0.00412119,0.00137373,0.00412119,0.00137373
40,761.256,0.55768,0.38819,0.82665,0.60621,0.94755,0.69733,0.59665,0.44269,879.542,0.67941,0.00411247,0.00137082,0.00411247,0.00137082,0.00411247,0.00137082,0.00411247,0.00137082
41,779.743,0.56457,0.39093,0.82697,0.6066,0.94222,0.69397,0.59299,0.43884,871.087,0.67852,0.00410354,0.00136785,0.00410354,0.00136785,0.00410354,0.00136785,0.00410354,0.00136785
42,797.916,0.56108,0.38484,0.82196,0.60767,0.94273,0.69759,0.59682,0.4427,873.538,0.6789,0.00409439,0.0013648,0.00409439,0.0013648,0.00409439,0.0013648,0.00409439,0.0013648
43,815.84,0.55433,0.38491,0.82277,0.60584,0.94281,0.70011,0.60053,0.44114,872.646,0.6796,0.00408504,0.00136168,0.00408504,0.00136168,0.00408504,0.00136168,0.00408504,0.00136168
44,834.798,0.55574,0.38356,0.82139,0.60915,0.93799,0.70255,0.60149,0.4402,874.644,0.67849,0.00407547,0.00135849,0.00407547,0.00135849,0.00407547,0.00135849,0.00407547,0.00135849
