epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
42,121.526,0.78455,0.61402,0.90997,0.5916,0.86668,0.66568,0.51487,0.77441,1.13906,0.96866,0.0013648,0.0013648,0.0013648
43,124.709,0.7536,0.61152,0.90638,0.58394,0.86371,0.66136,0.51936,0.76619,1.13896,0.96573,0.00136168,0.00136168,0.00136168
44,127.409,0.71685,0.59724,0.90461,0.59046,0.84515,0.66152,0.51967,0.76025,1.16423,0.96354,0.00135849,0.00135849,0.00135849
45,130.448,0.74119,0.63299,0.92652,0.57552,0.87446,0.66083,0.51661,0.76512,1.16383,0.9604,0.00135523,0.00135523,0.00135523
46,132.368,0.72751,0.58733,0.89654,0.57653,0.86617,0.66269,0.5267,0.75767,1.13142,0.95673,0.0013519,0.0013519,0.0013519
47,134.877,0.7254,0.59853,0.90144,0.57653,0.86617,0.66269,0.5267,0.75767,1.13142,0.95673,0.00134851,0.00134851,0.00134851
48,137.442,0.73459,0.58163,0.89671,0.58707,0.84227,0.65739,0.52462,0.74825,1.12618,0.95196,0.00134504,0.00134504,0.00134504
49,139.574,0.77207,0.60201,0.89894,0.57576,0.86231,0.66124,0.53061,0.75118,1.14042,0.95411,0.0013415,0.0013415,0.0013415
50,142.147,0.76195,0.59946,0.89559,0.57866,0.83869,0.65803,0.52847,0.75903,1.14587,0.9575,0.0013379,0.0013379,0.0013379
51,144.186,0.73875,0.58695,0.90128,0.58773,0.83879,0.66667,0.53478,0.76256,1.13002,0.96323,0.00133423,0.00133423,0.00133423
52,146.591,0.72822,0.57319,0.89065,0.58773,0.83879,0.66667,0.53478,0.76256,1.13002,0.96323,0.0013305,0.0013305,0.0013305
53,149.157,0.72315,0.55954,0.89229,0.60889,0.81887,0.6688,0.53549,0.76055,1.11422,0.95989,0.00132669,0.00132669,0.00132669
54,151.576,0.71255,0.56727,0.88929,0.61471,0.81747,0.67335,0.54009,0.76122,1.1178,0.9589,0.00132282,0.00132282,0.00132282
55,154.116,0.74008,0.58082,0.89556,0.60187,0.83432,0.67558,0.54444,0.75522,1.1411,0.95476,0.00131888,0.00131888,0.00131888
56,158.141,0.70561,0.59364,0.88988,0.5963,0.85366,0.67686,0.54482,0.75211,1.13004,0.95245,0.00131488,0.00131488,0.00131488
57,160.62,0.72759,0.57973,0.89159,0.5963,0.85366,0.67686,0.54482,0.75211,1.13004,0.95245,0.00131082,0.00131082,0.00131082
58,163.784,0.72187,0.57659,0.90099,0.59224,0.8743,0.67418,0.54069,0.75227,1.09586,0.94714,0.00130668,0.00130668,0.00130668
59,165.813,0.67576,0.54035,0.87488,0.58987,0.87634,0.6762,0.54278,0.74876,1.07098,0.94318,0.00130249,0.00130249,0.00130249
60,168.262,0.71668,0.55045,0.88766,0.59619,0.87151,0.67736,0.54547,0.73896,1.07481,0.93982,0.00129823,0.00129823,0.00129823
61,171.008,0.71031,0.57862,0.89492,0.59848,0.86924,0.6693,0.53785,0.7295,1.09401,0.93962,0.00129391,0.00129391,0.00129391
62,173.536,0.7182,0.56597,0.87828,0.59975,0.84878,0.66577,0.53624,0.73247,1.11389,0.94084,0.00128952,0.00128952,0.00128952
63,175.786,0.72052,0.5625,0.87956,0.59975,0.84878,0.66577,0.53624,0.73247,1.11389,0.94084,0.00128507,0.00128507,0.00128507
64,178.16,0.68275,0.54662,0.87706,0.58764,0.86857,0.66619,0.5371,0.73266,1.125,0.94068,0.00128057,0.00128057,0.00128057
65,180.136,0.68068,0.5341,0.88469,0.60356,0.85061,0.66698,0.54169,0.73116,1.11154,0.93918,0.00127599,0.00127599,0.00127599
66,182.511,0.67254,0.52379,0.89053,0.60854,0.84827,0.67022,0.54256,0.73585,1.1068,0.93985,0.00127136,0.00127136,0.00127136
67,184.731,0.72669,0.55838,0.87677,0.60772,0.8465,0.67478,0.54171,0.72662,1.10025,0.9398,0.00126667,0.00126667,0.00126667
68,186.884,0.66132,0.52006,0.87755,0.60772,0.8465,0.67478,0.54171,0.72662,1.10025,0.9398,0.00126192,0.00126192,0.00126192
69,188.868,0.68923,0.53967,0.87168,0.61251,0.8359,0.66996,0.54366,0.71601,1.0989,0.93914,0.00125711,0.00125711,0.00125711
70,191.035,0.68779,0.53455,0.88181,0.60694,0.84176,0.66316,0.53742,0.71514,1.09833,0.9393,0.00125224,0.00125224,0.00125224
71,193.303,0.69802,0.52987,0.87238,0.6054,0.83195,0.66443,0.54283,0.71073,1.09369,0.93538,0.00124731,0.00124731,0.00124731
72,196.109,0.69965,0.54683,0.87215,0.59752,0.83663,0.67044,0.55062,0.70816,1.10067,0.93177,0.00124233,0.00124233,0.00124233
73,198.511,0.67894,0.5369,0.89799,0.59752,0.83663,0.67044,0.55062,0.70816,1.10067,0.93177,0.00123728,0.00123728,0.00123728
74,200.957,0.6665,0.51566,0.87097,0.59811,0.83667,0.67985,0.55747,0.71203,1.09512,0.93274,0.00123219,0.00123219,0.00123219
75,203.23,0.65073,0.51288,0.88384,0.60637,0.83935,0.68411,0.55825,0.71646,1.08464,0.93421,0.00122703,0.00122703,0.00122703
76,205.939,0.64093,0.50639,0.87525,0.59928,0.85717,0.68353,0.55112,0.71385,1.08078,0.93412,0.00122182,0.00122182,0.00122182
77,208.014,0.65436,0.51606,0.87623,0.59876,0.85897,0.68786,0.5567,0.70416,1.08512,0.93181,0.00121656,0.00121656,0.00121656
78,210.984,0.64528,0.51024,0.87959,0.59477,0.87113,0.68956,0.56037,0.70525,1.07964,0.93112,0.00121124,0.00121124,0.00121124
79,217.133,0.6606,0.52042,0.87222,0.59477,0.87113,0.68956,0.56037,0.70525,1.07964,0.93112,0.00120586,0.00120586,0.00120586
80,219.65,0.66737,0.50439,0.87445,0.59365,0.87432,0.68942,0.56193,0.7,1.07165,0.93031,0.00120044,0.00120044,0.00120044
81,223.029,0.6777,0.52905,0.87871,0.59996,0.86813,0.69223,0.56204,0.69604,1.06067,0.92956,0.00119496,0.00119496,0.00119496
82,227.733,0.66504,0.50887,0.87662,0.60051,0.86813,0.69613,0.5659,0.70166,1.05693,0.93126,0.00118943,0.00118943,0.00118943
83,230.702,0.68216,0.51007,0.87026,0.6024,0.86595,0.69471,0.56511,0.6985,1.05838,0.93131,0.00118385,0.00118385,0.00118385
84,232.731,0.67097,0.51714,0.87171,0.6024,0.86595,0.69471,0.56511,0.6985,1.05838,0.93131,0.00117821,0.00117821,0.00117821
85,235.196,0.69019,0.51534,0.8695,0.59554,0.85899,0.69189,0.56762,0.69485,1.05952,0.93077,0.00117253,0.00117253,0.00117253
86,239.459,0.67831,0.51009,0.87185,0.61016,0.84228,0.68913,0.56876,0.68945,1.05904,0.92909,0.0011668,0.0011668,0.0011668
87,242.421,0.65783,0.49689,0.87129,0.60973,0.84512,0.68407,0.55852,0.6896,1.06496,0.92871,0.00116102,0.00116102,0.00116102
88,244.759,0.68328,0.50318,0.85207,0.58217,0.88781,0.68101,0.55612,0.69394,1.07135,0.92868,0.00115519,0.00115519,0.00115519
89,248.503,0.66313,0.49238,0.86119,0.58217,0.88781,0.68101,0.55612,0.69394,1.07135,0.92868,0.00114931,0.00114931,0.00114931
90,251.412,0.63065,0.47398,0.85763,0.58722,0.86789,0.68085,0.5512,0.69095,1.07677,0.92777,0.00114339,0.00114339,0.00114339
91,253.439,0.65914,0.49092,0.87202,0.60415,0.84703,0.68081,0.55277,0.69216,1.08142,0.92983,0.00113742,0.00113742,0.00113742
92,256.645,0.63045,0.49432,0.87412,0.60539,0.8443,0.68177,0.5529,0.69796,1.07754,0.93265,0.0011314,0.0011314,0.0011314
93,258.604,0.66675,0.49717,0.86392,0.60604,0.84058,0.68018,0.55605,0.69307,1.0883,0.93269,0.00112534,0.00112534,0.00112534
94,261.322,0.67008,0.49913,0.8734,0.60302,0.84111,0.68098,0.5536,0.6831,1.09226,0.9282,0.00111924,0.00111924,0.00111924
95,263.528,0.63219,0.48479,0.86357,0.60302,0.84111,0.68098,0.5536,0.6831,1.09226,0.9282,0.00111309,0.00111309,0.00111309
96,265.521,0.6408,0.49572,0.87558,0.60276,0.84863,0.67688,0.55268,0.67657,1.09535,0.92574,0.0011069,0.0011069,0.0011069
97,267.525,0.6537,0.48408,0.86053,0.59928,0.84892,0.67246,0.54736,0.68402,1.09213,0.92742,0.00110066,0.00110066,0.00110066
98,269.528,0.6459,0.49781,0.86651,0.59085,0.87022,0.66813,0.54939,0.68608,1.07515,0.92865,0.00109439,0.00109439,0.00109439
99,271.612,0.64886,0.49514,0.86454,0.59035,0.87155,0.67146,0.54878,0.69073,1.07338,0.93062,0.00108807,0.00108807,0.00108807
100,273.754,0.62743,0.48736,0.86839,0.59035,0.87155,0.67146,0.54878,0.69073,1.07338,0.93062,0.00108172,0.00108172,0.00108172
101,275.666,0.61931,0.47935,0.85877,0.60243,0.85782,0.67007,0.54696,0.68744,1.09844,0.92992,0.00107532,0.00107532,0.00107532
102,277.601,0.60769,0.46654,0.86112,0.60686,0.85581,0.66864,0.54239,0.68649,1.10601,0.93151,0.00106889,0.00106889,0.00106889
103,280.164,0.60247,0.46291,0.85806,0.60311,0.86,0.66827,0.53873,0.68641,1.10311,0.93002,0.00106242,0.00106242,0.00106242
104,282.157,0.6428,0.5017,0.87469,0.59578,0.86931,0.65821,0.53454,0.68275,1.10154,0.92957,0.00105591,0.00105591,0.00105591
105,284.221,0.61913,0.46494,0.8504,0.59578,0.86931,0.65821,0.53454,0.68275,1.10154,0.92957,0.00104936,0.00104936,0.00104936
106,286.69,0.62167,0.49431,0.85351,0.5932,0.87676,0.64592,0.52449,0.67519,1.10294,0.92634,0.00104278,0.00104278,0.00104278
